0.0 112.796 2.041
0.0001 104.495 2.084
0.0002 95.752 1.752
0.0003 86.636 2.04
0.0004 77.219 2.009
0.0005 67.575 2.162
0.0006 57.762 2.173
0.0007 47.849 2.164
0.0008 37.904 1.778
0.0009 28.003 1.916
0.001 18.213 2.117
0.0011 8.598 2.004
0.0012 -0.767 2.003
0.0013 -9.83 1.89
0.0014 -18.517 2.178
0.0015 -26.768 1.791
0.0016 -34.544 2.23
0.0017 -41.791 1.827
0.0018 -48.468 2.16
0.0019 -54.531 2.092
0.002 -59.967 2.272
0.0021 -64.747 1.732
0.0022 -68.848 1.968
0.0023 -72.258 2.081
0.0024 -74.983 2.152
0.0025 -77.002 1.822
0.0026 -78.338 2.004
0.0027 -78.997 2.176
0.0028 -79.001 2.171
0.0029 -78.377 2.286
0.003 -77.143 1.706
0.0031 -75.358 2.114
0.0032 -73.059 2.173
0.0033 -70.301 1.906
0.0034 -67.131 2.224
0.0035 -63.598 2.216
0.0036 -59.776 1.763
0.0037 -55.701 2.176
0.0038 -51.454 2.008
0.0039 -47.102 2.071
0.004 -42.704 2.179
0.0041 -38.33 1.802
0.0042 -34.024 1.745
0.0043 -29.868 2.239
0.0044 -25.927 2.001
0.0045 -22.265 1.817
0.0046 -18.937 1.988
0.0047 -15.989 1.822
0.0048 -13.479 1.95
0.0049 -11.448 2.191
0.005 -9.935 1.971
0.0051 -8.975 2.286
0.0052 -8.579 2.272
0.0053 -8.77 1.705
0.0054 -9.566 2.194
0.0055 -10.979 2.291
0.0056 -13.01 2.055
0.0057 -15.645 2.266
0.0058 -18.888 2.259
0.0059 -22.709 2.129
0.006 -27.092 1.728
0.0061 -31.998 1.742
0.0062 -37.393 1.868
0.0063 -43.251 1.812
0.0064 -49.518 2.143
0.0065 -56.148 1.864
0.0066 -63.077 2.221
0.0067 -70.253 2.094
0.0068 -77.61 1.704
0.0069 -85.094 2.056
0.007 -92.621 1.852
0.0071 -100.119 2.096
0.0072 -107.528 2.154
0.0073 -114.784 2.215
0.0074 -121.815 2.102
0.0075 -128.553 1.943
0.0076 -134.937 2.081
0.0077 -140.898 2.237
0.0078 -146.388 2.131
0.0079 -151.351 2.074
0.008 -155.73 2.189
0.0081 -159.478 1.862
0.0082 -162.553 2.157
0.0083 -164.92 1.761
0.0084 -166.542 1.991
0.0085 -167.396 2.293
0.0086 -167.479 1.956
0.0087 -166.791 2.222
0.0088 -165.302 1.864
0.0089 -163.024 1.734
0.009 -159.969 1.923
0.0091 -156.155 2.182
0.0092 -151.597 2.168
0.0093 -146.325 2.188
0.0094 -140.365 1.904
0.0095 -133.774 1.706
0.0096 -126.583 2.197
0.0097 -118.853 2.257
0.0098 -110.636 2.041
0.0099 -102.0 1.78
0.01 -93.006 1.822
0.0101 -83.71 2.038
0.0102 -74.191 1.776
0.0103 -64.509 1.847
0.0104 -54.73 2.085
0.0105 -44.939 2.002
0.0106 -35.21 2.076
0.0107 -25.588 1.968
0.0108 -16.164 2.213
0.0109 -6.989 2.129
0.011 1.864 1.73
0.0111 10.341 1.728
0.0112 18.375 1.814
0.0113 25.914 1.905
0.0114 32.922 1.735
0.0115 39.354 1.837
0.0116 45.188 1.93
0.0117 50.378 2.242
0.0118 54.91 1.953
0.0119 58.78 1.833
0.012 61.962 2.251
0.0121 64.449 1.863
0.0122 66.252 2.053
0.0123 67.378 2.073
0.0124 67.841 2.159
0.0125 67.672 1.884
0.0126 66.91 2.064
0.0127 65.568 2.019
0.0128 63.696 1.798
0.0129 61.337 2.0
0.013 58.544 2.278
0.0131 55.366 1.866
0.0132 51.861 2.099
0.0133 48.098 2.231
0.0134 44.133 2.064
0.0135 40.025 2.017
0.0136 35.835 2.016
0.0137 31.651 2.007
0.0138 27.525 1.917
0.0139 23.51 2.264
0.014 19.677 1.715
0.0141 16.079 2.3
0.0142 12.772 2.089
0.0143 9.826 1.826
0.0144 7.284 2.047
0.0145 5.195 2.048
0.0146 3.594 2.095
0.0147 2.523 2.002
0.0148 2.019 2.003
0.0149 2.098 1.931
0.015 2.777 2.23
0.0151 4.08 2.001
0.0152 6.004 1.832
0.0153 8.544 1.89
0.0154 11.707 1.752
0.0155 15.484 2.093
0.0156 19.846 2.07
0.0157 24.768 1.869
0.0158 30.211 1.916
0.0159 36.139 2.019
0.016 42.508 1.993
0.0161 49.267 2.051
0.0162 56.373 2.278
0.0163 63.762 2.222
0.0164 71.372 2.16
0.0165 79.137 2.215
0.0166 87.003 2.089
0.0167 94.903 2.248
0.0168 102.746 1.937
0.0169 110.482 2.224
0.017 118.039 1.776
0.0171 125.346 1.938
0.0172 132.333 1.93
0.0173 138.94 1.789
0.0174 145.104 2.154
0.0175 150.773 2.293
0.0176 155.894 1.837
0.0177 160.417 1.801
0.0178 164.287 1.794
0.0179 167.472 1.984
0.018 169.932 2.208
0.0181 171.634 1.837
0.0182 172.564 2.199
0.0183 172.698 2.199
0.0184 172.038 1.714
0.0185 170.586 2.14
0.0186 168.335 1.937
0.0187 165.306 1.977
0.0188 161.506 2.202
0.0189 156.98 2.241
0.019 151.739 2.271
0.0191 145.831 2.26
0.0192 139.284 2.001
0.0193 132.151 1.764
0.0194 124.496 2.127
0.0195 116.372 2.245
0.0196 107.832 2.002
0.0197 98.944 1.762
0.0198 89.774 2.09
0.0199 80.392 2.273
0.02 70.877 2.227
0.0201 61.282 1.725
0.0202 51.697 2.094
0.0203 42.169 2.274
0.0204 32.777 2.154
0.0205 23.595 2.041
0.0206 14.675 1.805
0.0207 6.076 1.939
0.0208 -2.14 1.783
0.0209 -9.907 2.268
0.021 -17.179 1.908
0.0211 -23.919 2.136
0.0212 -30.083 2.131
0.0213 -35.634 1.765
0.0214 -40.554 2.097
0.0215 -44.82 2.018
0.0216 -48.408 2.16
0.0217 -51.315 1.83
0.0218 -53.544 2.201
0.0219 -55.1 2.274
0.022 -56.004 1.864
0.0221 -56.266 1.974
0.0222 -55.904 2.264
0.0223 -54.963 1.867
0.0224 -53.467 2.153
0.0225 -51.476 1.796
0.0226 -49.025 1.747
0.0227 -46.161 1.727
0.0228 -42.939 1.89
0.0229 -39.427 2.034
0.023 -35.683 2.106
0.0231 -31.763 1.784
0.0232 -27.73 2.196
0.0233 -23.659 2.049
0.0234 -19.608 2.054
0.0235 -15.642 1.742
0.0236 -11.832 2.198
0.0237 -8.232 1.716
0.0238 -4.902 1.849
0.0239 -1.892 1.856
0.024 0.732 1.705
0.0241 2.928 1.785
0.0242 4.652 2.06
0.0243 5.863 1.959
0.0244 6.528 1.723
0.0245 6.61 1.93
0.0246 6.094 2.294
0.0247 4.968 2.018
0.0248 3.209 1.83
0.0249 0.826 2.06
0.025 -2.186 1.907
0.0251 -5.815 1.938
0.0252 -10.048 1.918
0.0253 -14.855 2.112
0.0254 -20.204 2.021
